"error_name","SurveyorID","Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"unhealthy_but_wrong_status",NA,"c6466bea-8292-4322-ad1c-4d42ca657c19","204","20243","1","fram","28.1","69.7","411","PD","1.3","PD","False","4",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W,AS",NA,NA
"unhealthy_but_wrong_status",NA,"c6466bea-8292-4322-ad1c-4d42ca657c19","204","20251","1","fram","23","66.4","73","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,AS",0,NA
"unhealthy_but_wrong_status",NA,"5edeb5b2-533f-42f8-a0f8-102fbee1abfd","208","20593","1","frni","38.4","144.2","164","AU","1.3","PD","False","2",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,DE",3,NA
"unhealthy_but_wrong_status",NA,"adcd07e2-8f42-4929-8763-00263b4933c8","212","20702","1","cagl","28.3","221.60001","117","DS","1.3","PD","False","1",NA,NA,0,0,NA,"0","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","JJ,BC","4551c318-1b6e-46e0-b288-af9962c2b64e","220","22132","1","juni","14.1","18.9","191","PD","1.3","PD","False","3",NA,NA,10,0,NA,"0","U,R,I",NA,NA,"2",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","JJ,BC","9d5d6d84-f774-483e-a333-803b1e8d4779","221","22154","1","frni","18.5","9.7","114","PD","1.3","PD","False","2",NA,NA,25,0,NA,"0","U,I,R",NA,NA,NA,NA,"5","0","DE,VB,W,SS",4,"S"
"unhealthy_but_wrong_status","BC,JJ","f19f0501-a0c2-43b1-b329-7ef4e10031b4","223","22220","1","fram","9.1","5.4","66","DS","1.3","PD","False","2",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","DE",2,"I"
"unhealthy_but_wrong_status","JJ","004d33b6-696c-4bd1-97c7-fc892df0f4ab","223","22220","1","fram","9.1","5.4","66","DS","1.3","DS","False","2","S",NA,NA,0,NA,"0","I",NA,NA,NA,NA,"5","0","DE",2,"S"
"unhealthy_but_wrong_status","BC,JJ","f19f0501-a0c2-43b1-b329-7ef4e10031b4","223","22236","1","fram","13.5","8","101","DS","1.3","PD","False","1",NA,NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","0","DE",1,"S"
"unhealthy_but_wrong_status","JJ","004d33b6-696c-4bd1-97c7-fc892df0f4ab","223","22236","1","fram","13.5","8","101","DS","1.3","DS","False","1","S",NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","0","DE",1,"S"
