"tag","StemTag","sp","quadrat","gx","gy","dbh","hom","s14","s15","s16","s17","s18main","s18","s19","s20","status.2021","dendroband","above_50cm_dbh","oak","small_non_oak_no_dendro_random","cored_dead"
142350,2,"qupr","1423",270.8,458.5,173,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
142355,1,"qupr","1424",277.4,465.5,459,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
142564,2,"qual","1425",260.9,489,306,"1.4","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
140883,1,"fram","1414",265.3,277.4,710,"1.3","A","A","A","AU","A","AU","AU","AU","DS",0,1,0,0,0
142178,1,"fram","1419",267.3,364.6,557,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,0,0,0
111292,1,"fram","1116",212.8,310.4,713,"1.3","A","A","A","A","A","A","A","AU","DS",1,1,0,0,0
121439,1,"cagl","1215",231.4,280,209,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
121358,1,"fram","1216",230.9,312,1061,"1.3","A","A","A","A","A","AU","A","A","DS",1,1,0,0,0
112060,1,"fram","1117",201,327.6,853,"1.3","A","A","A","A","A","A","A","AU","DS",1,1,0,0,0
122122,1,"pist","1220",229.3,386.3,213,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
122149,1,"pist","1220",222,397.4,151,"1.3","A","A","A","AU","A","AU","AU","A","DS",0,0,0,0,0
112243,1,"caco","1122",211.8,431.4,117,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
132506,1,"fram","1328",254.6,551.1,109,"1.3","A","A","A","A","A","AU","A","AU","DS",0,0,0,0,0
12255,1,"fram","0125",8.5,489.3,300,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,1,0
12270,1,"tiam","0125",19.4,499.6,304,"1.3","A","A","A","A","A","A","AU","AU","DS",1,0,0,0,0
12283,1,"ceoc","0125",7.2,492.9,111,"1.3","A","A","A","A","A","AU","A","AU","DS",0,0,0,0,0
22251,1,"fram","0223",22.1,457.6,159,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
160795,1,"quve","1610",314.6,182.2,534,"1.3","A","A","A","A","D","DS","AU","AU","DS",0,1,1,0,0
30077,1,"fram","0304",40.6,76.4,145,"1.3","A","A","A","A","A","AU","A","AU","DS",0,0,0,0,0
30070,1,"juni","0304",40.3,63.3,431,"1.3","A","A","AU","AU","A","AU","AU","AU","PD",0,0,0,0,0
30072,1,"fram","0304",44.2,62.4,140,"1.3","A","A","A","A","A","A","AU","AU","PD",0,0,0,0,0
152003,1,"cagl","1517",296.9,321.2,131,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
12147,1,"ceca","0121",3.2,418,134,"0.8","A","A","AU","AU","A","AU","AU","AU","DC",0,0,0,0,0
40088,1,"fram","0401",80,14.4,325,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
131298,1,"quru","1315",254,293.1,234,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
131272,1,"fram","1315",258.5,282.2,956,"1.3","A","A","A","AU","A","AU","A","AU","PD",1,1,0,0,0
131273,1,"caco","1315",258.5,283.1,240,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
132293,1,"ceca","1325",243.4,493.1,103,"1.2",NA,NA,NA,NA,"A",NA,"A","A","DS",0,0,0,0,0
152216,1,"ceca","1520",296.5,397.4,105,"1.3",NA,NA,NA,NA,"A",NA,"A","AU","DS",0,0,0,0,0
152198,1,"ceca","1520",285.8,396.8,105,"1.3",NA,NA,NA,NA,"A",NA,"A","AU","DS",0,0,0,0,0
12244,1,"fram","0124",19.7,471.1,625,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,1,0,0,0
160645,1,"fram","1603",307.8,53,183,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
160618,1,"fram","1603",306.6,47.4,125,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
160286,1,"fram","1602",317.5,20.2,275,"1.3","A","A","A","A","A","AU","AU","AU","DC",0,0,0,0,0
132524,1,"litu","1329",258.4,560.4,246,"1.3","A","A","A","A","A","A","A","A","DC",1,0,0,0,0
50047,1,"litu","0501",96.9,13.7,682,"1.3","A","A","A","AU","A","A","A","A","DS",0,1,0,0,0
50014,1,"fram","0501",90.2,4,238,"1.3","A","A","A","AU","A","AU","AU","AU","DS",0,0,0,0,0
60557,1,"fram","0614",116.7,267.7,415,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
60449,1,"acru","0614",107.8,264.7,170,"1.3","A","A","A","A","A","AU","AU","AU","DC",0,0,0,0,0
62383,1,"litu","0629",100.7,565.7,204,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
52340,1,"frni","0528",90.3,549,190,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
42283,1,"quve","0425",62.3,489.9,491,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
40925,1,"tiam","0413",64.6,247.8,401,"1.38","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
50609,2,"tiam","0512",97.3,225.7,224,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
22207,1,"fram","0222",30.8,434.5,345,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
70213,1,"fram","0701",134.3,9.8,342,"1.3","A","A","AU","AU","A","A","A","A","DS",0,0,0,0,0
70004,1,"cofl","0701",121.4,5.1,169,"1.3","A","A","A","AU","A","AU","A","A","DC",0,0,0,0,0
102455,1,"litu","1029",191.8,579.3,390,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
102423,1,"quru","1028",186.6,541.7,684,"1.3","A","A","A","A","A","A","A","A","DS",0,1,1,0,0
101163,1,"nysy","1014",190.1,263.2,256,"1.3","A",NA,NA,NA,"A",NA,"A","AU","DS",0,0,0,0,0
112423,1,"frpe","1128",208.5,554.6,136,"1.3","A","A","A","AU","A","AU","AU","AU","DS",0,0,0,0,0
92526,1,"fram","0930",178,596.2,112,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
82437,1,"saal","0832",141.2,637.2,128,"1.3","A","A","AU","AU","A","AU","A","AU","DC",0,0,0,0,0
92347,1,"quru","0923",161.4,454.5,569,"1.3","A","A","A","A","A","A","A","A","DS",1,1,1,0,0
82193,1,"cagl","0821",141.9,415,106,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
30057,1,"fram","0303",52.4,44.5,134,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
30388,1,"caca","0309",57.3,165.7,182,"1.3","A","A","A","A","A","AU","A","AU","DC",0,0,0,0,0
30443,1,"fram","0312",48.5,234,389,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
30537,1,"fram","0314",55.1,277,295,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
32025,1,"qupr","0317",57.5,330,604,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
32025,2,"qupr","0317",57.5,330,533,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
32021,1,"fram","0317",59.9,322.5,106,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
40846,1,"frni","0411",73.7,209.3,203,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
40794,1,"acru","0411",71.7,200.9,118,"1.3","A","A","AU","AU","A","AU","A","AU","DC",0,0,0,0,0
12012,1,"litu","0117",12.3,329.7,119,"1.3","A","A","AU","AU","A","AU","AU","AU","DC",0,0,0,0,0
12296,1,"fram","0126",5.6,500.1,262,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
12323,1,"acru","0126",4.4,517.3,393,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
