"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","timeint_days","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","surveyor","current_year_comment","previous_year_comment","submission_id"
2013,122009,1,"acru","Acer","rubrum","1217",324.1,221.2,NA,NA,277,0.37,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122017,1,"ceca","Cercis","canadensis","1217",329.8,222.6,NA,NA,113,0.05,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122020,1,"ulru","Ulmus","rubra","1217",331.5,233,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122022,1,"ulru","Ulmus","rubra","1217",331.2,238.3,NA,NA,NA,NA,0,2013-07-22,1711,"D","D",NA,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122023,1,"caco","Carya","cordiformis","1217",332.2,234.4,NA,NA,297.3,0.55,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122026,1,"caco","Carya","cordiformis","1217",336.7,238,NA,NA,454.4,1.46,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122027,1,"caca","Carpinus","caroliniana","1217",336.3,235.6,NA,NA,103.2,0.03,1.3,2013-07-22,1711,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122028,1,"fagr","Fagus","grandifolia","1217",336.4,226.9,NA,NA,326,0.62,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122029,1,"cato","Carya","tomentosa","1217",338.3,224.8,NA,NA,289.1,0.51,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122030,1,"caco","Carya","cordiformis","1217",335.8,230.6,NA,NA,225,0.29,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122031,1,"ulam","Ulmus","americana","1217",340,229.8,NA,NA,239,0.25,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122044,1,"fagr","Fagus","grandifolia","1218",348,229.5,NA,NA,172.4,0.13,1.3,2013-07-22,1749,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122045,1,"quco","Quercus","coccinea","1218",350.7,232.5,NA,NA,644.7,3.37,1.3,2013-07-22,1749,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122047,1,"frpe","Fraxinus","pennsylvanica","1218",347.3,239.7,NA,NA,99.9,0.04,1.3,2013-07-22,1749,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122050,1,"nysy","Nyssa","sylvatica","1218",351.6,236.4,NA,NA,219.8,0.2,1.3,2013-07-22,1749,"G","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122054,1,"caca","Carpinus","caroliniana","1218",356.6,240,NA,NA,95.6,0.03,1.3,2013-07-22,1749,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
